Study,Stud Design,Rating,Limitations,Rate Down,Inconsistency,Rate Down,Indirectness,Rate Down,Imprecision,Rate Down,Publication Bias,Rate Down,Large Effect,Rate Up,Dose Response,Rate Up,Confounding,Rate Up,Total,Rating#,Rating,Notes
Morishita et al. 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Moser et al. 2001,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Health",1,2,2,Moderate,
Muniesa et al.  1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Murphy et al. 2005,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Murray et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Spatial, Diet, Season, human feeding",1,3,3,High,
Navarro et al. 2019,Observational,1,No serious limitations,0,Gulls over 4 years of age,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Tracked gulls and sampled multiple times,1,1,1,Low,
Navarro-Gonzalez et al. 2020,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Nielsen et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Oates et al. 2012,Observational,1,No serious limitations,0,No serious inconsistency,0,Taxonomy to family level,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Sex, Location, Season",1,1,1,Low,
Obiri-Danso and Jones 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,cells/g dry feces,1,No Confounding,0,2,2,Moderate,
Ogden et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Ojo et al. 2019,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Oosterom 1987,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Pacha et al.  1987,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Palmgren et al. 1997,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Palmgren et al. 2000,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Palmgren et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Palmgren et al. 2006,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Year, Season",1,3,3,High,
Pao et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Season, Location",1,2,2,Moderate,
Pearson et al. 2016,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Location Date,1,3,3,High,
Pennycott et al. 1998,Observational,1,No serious limitations,0,Dead birds,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Location, Sex, Date",1,1,1,Low,
Phalen et al. 2010,Observational,1,No serious limitations,0,Most birds were nestlings,1,Tissues were sampled,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Location, Year, Age",1,1,1,Low,
"Plant, C. W. 1978",Observational,1,No serious limitations,0,Most samples are new sewage treatment plants,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Location,1,2,2,Moderate,
Plaza-Rodriguez et al. 2021,Observational,1,No serious limitations,0,No serious inconsistency,0,Ducks and geese lumped together,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Pourcher et al.  1991,Observational,1,No serious limitations,0,No serious inconsistency,0,Ducks and geese lumped together,1,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,1,1,Low,
Prud?homme et al. 2018,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Year, Housing",0,1,1,Low,
Queen et al. 2012,Observational,1,No serious limitations,0,Animals that were submitted to veterinary hospital,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Quessy and Messier 1992,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Location,1,3,3,High,
Radwan and Lampky 1972,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Rahn et al. 1997,Observational,1,No serious limitations,0,No serious inconsistency,0,"Cats, flies, and rodents lumped but there were no positive samples",0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Rapp et al. 2020,Observational,1,No serious limitations,0,No serious inconsistency,0,All birds lumped,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Reche et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Refsum et al. 2003,Observational,1,No serious limitations,0,Animals were found dead,1,Samples from tissue and non fecal material,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,-1,0,Very Low,
"Refsum, et al. 2002",Observational,1,No serious limitations,0,Animals were found dead,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Renter et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Renter et al. 2005,Observational,1,No serious limitations,0,No serious inconsistency,0,All wildlife composited,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Ricca and Cooney 1998,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,PFU/g,1,No Confounding,0,2,2,Moderate,
Rivadeneira et al. 2016,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Robinson and Daniel 1968,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Location,1,2,2,Moderate,
Robinson et al. 2010,Observational,1,No serious limitations,0,Animals that were found dead were used.,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Spatial, Monthly",1,1,1,Low,
Rodriguez et al. 2012,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
"Rouffaer, L. O. 2016",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Rutledge et al. 2013,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Year",1,3,3,High,
Rzymski et al. 2017,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite fecal samples,1,No serious imprecision,0,Undetected,0,No Effect,0,cysts/g,1,No Confounding,0,1,1,Low,
Sabshin et al.  2012,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite fecal samples,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Sex, Age, Health, Environment",1,2,2,Moderate,
Sandberg et al. 2002,Observational,1,No serious limitations,0,Animals submitted to clinic,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, Season, Clinic",1,2,2,Moderate,
Santaniello et al. 2007,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Santin et al.  2006,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Sex",1,2,2,Moderate,
Sargent et al. 1998,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Scheelings et al.  2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Schmidt et al. 2000,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Schmidt et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Habitat, Age, Sex",1,2,2,Moderate,
Sen et al.  2018,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Location,1,2,2,Moderate,
Shere et al. 1998,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
"Sieburth, J. M. 1959",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,2,2,Moderate,
Siembieda et al. 2011,Observational,1,No serious limitations,0,Animals submitted to wildlife hospital,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Location,1,1,1,Low,
Silva et al. 2018,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite fecal samples,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Sippy et al. 2012,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Year, Season",1,2,2,Moderate,
Smith et al.  2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Smith et al.  2012,Observational,1,No serious limitations,0,Animals where captured and shipped before housing and testing.,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Smith et al. 2020,Observational,1,No serious limitations,0,No serious inconsistency,0,All bird samples where grouped under bird,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Snoeyenbos et al. 1967,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
"Snyder, DE 1988",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Spain et al. 2001,Observational,1,No serious limitations,0,Cats <1 year old from shelters and hospitals,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Ownership,1,2,2,Moderate,
Sproston et al. 2006,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite slug samples,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Steel et al. 2005,Observational,1,No serious limitations,0,Birds submitted to clinics,1,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
Stenkat et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite slug samples,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,0,0,Very Low,
"Strait, A. 2015",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Sturdee et al. 1999,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Sturdee et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,All small wild animals lumped but majority of animals wer predominanatly one species,1,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,1,1,Low,
Sulzner et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Location, Age, Sex",1,2,2,Moderate,
Taff et al. 2016,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Spatial, Monthly, Age",1,3,3,High,
Tanaka et al. 2005,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Sampling date",1,3,3,High,
Tang et al. 2017,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Tizard et al. 1979,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Location,1,2,2,Moderate,
Tizard et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Villeneuve et al. 2015,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Age,1,3,3,High,
"Vogt, N. A. 2021",Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, Year, Season, Rainfall, Spatial",1,3,3,High,
Wahlstrom et al. 2003,Observational,1,No serious limitations,0,No serious inconsistency,0,Composite fecal samples,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,Monthly,1,1,1,Low,
Waldenstrom et al. 2002,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Wang et al. 2013,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Waters et al.  2019,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Webster and MacDonald 1995,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Sex, Age, Season",1,2,2,Moderate,
Weigler et al. 1988,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,"Age, Sex",1,2,2,Moderate,
Wieland et al.  2005,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Age, Sex, Spatial, Diet, behavior, health, season, contact with other animals",1,3,3,High,
Weis et al. 2014,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Whelan et al. 1988,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,"Location, Sampling time",1,3,3,High,
Wiese et al. 1977,Observational,1,No serious limitations,0,Only nestling birds were tested,1,Animal tissues were tested instead of feces,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,-1,0,Very Low,
Williams et al. 2011,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,No Confounding,0,2,2,Moderate,
Wilson and MacDonald 1967,Observational,1,No serious limitations,0,Dead animals were tested during epidemics,1,Animal tissues were tested instead of feces,1,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,-1,0,Very Low,
Winsor et al. 1981,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,
Wood and Trust 1972,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,Age,1,3,3,High,
Wright et al. 2009,Observational,1,No serious limitations,0,No serious inconsistency,0,Taxonomy to family/genius level,1,No serious imprecision,0,Undetected,0,No Effect,0,CFU/g,1,No Confounding,0,1,1,Low,
Zhou et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,No Effect,0,No Dose Response,0,No Confounding,0,1,1,Low,Two articles mammals
Zhou et al. 2004,Observational,1,No serious limitations,0,No serious inconsistency,0,No serious indirectness,0,No serious imprecision,0,Undetected,0,>140 samples,1,No Dose Response,0,Location,1,3,3,High,Two articles Canada Geese
