Reference,Year,Full.Reference,peer.review,search,Location,USA,Global.Region,Method,Conventional..Molecular..or.Immunologic,MDL.ALOD.LOD,Below.MDL,MDL.units,Sample.Volume,kingdom,class,order,family,genius,Animal.common.name,Animal.Latin.Name,Animal.Extras,Free.captive,Pathogen1,Pathogen,Pathotype.Bin.2,medium,Presence,Enumerated,Enum.Stats,Censored.Data,Presence.Absence,Total,percent,Individual.Sample,Mean,Geometric.mean,Standard.deviation,Median,Min,Max,X95..low,X95..high,units,Notes,Notes.1,CenMedianLow,CenMedianHigh,CenMinLow,CenMinHigh,CenMaxLow,CenMaxHigh,log10mean,log10SD,GRADES,GRADES_Score
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,1600000,,NA,NA,NA,,,NA,NA,CFU/g,,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,<100000,,NA,NA,NA,10000,100000,NA,NA,CFU/g,number less than the dilution tested,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,18000000,,NA,NA,NA,,,NA,NA,CFU/g,,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,<1000000,,NA,NA,NA,100000,1000000,NA,NA,CFU/g,number less than the dilution tested,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,14000000,,NA,NA,NA,,,NA,NA,CFU/g,,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,69000000,,NA,NA,NA,,,NA,NA,CFU/g,,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Fogarty et al.,2003,Fogarty et al. 2003,yes,review,"USA, MI, Traverse City",yes,North America,"Membrain filter, dilution, plate count",Conventional,NA,NA,,variable weight concentration standardized,Animal,Bird,Charadriiformes,Laridae,,,,Gull (family),free,Escherichia coli,Escherichia coli,,fecal swab,no,yes,StatsIndiv,yes,,1,NA,<1000000,,NA,NA,NA,100000,1000000,NA,NA,CFU/g,,individual sample first sample related to second sample,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Molothrus,Brown-headed cowbird,Molthrus ater,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,4,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Columbina,Common ground dove,Columbina passerina,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,4,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Streptopelia,Eurasian collared dove,Streptopelia decaocto,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,24,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Quiscalus,Great tailed grackle,Quiscalus mexicanus,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,7,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,Passer domesticus,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Columbina,Inca dove,Scardafella inca,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,39,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Zenaida,Mourning dove,Zenaida macroura,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,179,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,18,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,Agelaius phoeniceus,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,27,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
"Fonseca, et al.",2020,"Fonseca, et al. 2020",yes,Google Scholar,"USA, Arizona, Yuma, near small ranches",yes,North America,"biochemical, culture broth and plate",Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Xanthocephalus,Yellow-headed blackbird,Xanthocephalus xanthocephalus,,free,Escherichia coli O157:H7,EHEC,,cloacal swab,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,also did study on survival of pathogens in feces,,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,2
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Motacillidae,Anthus,American pipit ,Anthus rubescens,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,12,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Corvidae,Pica,Black-billed magpie,Pica hudsonia,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Spizella,Brewer's sparrow,Spizella breweri,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Strigiformes,Strigidae,Athene,Burrowing owl,Athene cunicularia,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,2,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus maniculatus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Alaudidae,Eremophila,Horned lark ,Eremophila alpestris,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,1,41,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,Passer domesticus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Turdidae,Sialia,Mountain bluebird,Sialia currucoides,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Zenaida,Mourning dove,Zenaida macroura,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Mammal,Rodentia,Cricetidae,Onychomys,Northern grasshopper mouse,Onychomys leucogaster,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Mammal,Rodentia,Heteromyidae,Dipodomys,Ord's kangaroo rat ,Dipodomys ordii,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,26,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,2,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,Agelaius phoeniceus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Mimidae,Oreoscoptes,Sage thrasher,Oreoscoptes montanus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Passerculus,Savannah sparrow,Passerculus sandwichensis,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Accipitriformes,Accipitridae,Buteo,Swainsons hawk ,Buteo swainsoni,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Pooecetes,Vesper sparrow,Pooecetes gramineus,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Tyrannidae,Tyrannus,Western kingbird,Tyrannus verticalis,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,culture broth and plate,Conventional,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Zonotrichia,White-crowned sparrow,Zonotrichia leucophrys,,free,Escherichia coli,Escherichia coli,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Motacillidae,Anthus,American pipit ,Anthus rubescens,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,12,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Corvidae,Pica,Black-billed magpie,Pica hudsonia,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Spizella,Brewer's sparrow,Spizella breweri,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Strigiformes,Strigidae,Athene,Burrowing owl,Athene cunicularia,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Mammal,Rodentia,Cricetidae,Peromyscus,Deer mouse,Peromyscus maniculatus,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Sturnidae,Sturnus,European starling,Sturnus vulgaris,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Alaudidae,Eremophila,Horned lark ,Eremophila alpestris,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,41,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Mammal,Rodentia,Muridae,Mus,House mouse,Mus musculus,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passeridae,Passer,House sparrow,Passer domesticus,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Turdidae,Sialia,Mountain bluebird,Sialia currucoides,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Zenaida,Mourning dove,Zenaida macroura,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Mammal,Rodentia,Cricetidae,Onychomys,Northern grasshopper mouse,Onychomys leucogaster,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,9,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Mammal,Rodentia,Heteromyidae,Dipodomys,Ord's kangaroo rat ,Dipodomys ordii,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,26,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Columbiformes,Columbidae,Columba,Pigeon,Columba livia,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,3,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Icteridae,Agelaius,Red-winged blackbird,Agelaius phoeniceus,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,10,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Mimidae,Oreoscoptes,Sage thrasher,Oreoscoptes montanus,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Passerculus,Savannah sparrow,Passerculus sandwichensis,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,2,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Accipitriformes,Accipitridae,Buteo,Swainsons hawk ,Buteo swainsoni,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
Franklin et al.,2015,Franklin et al. 2015,grey literature,Google Scholar,"USA, Colorado, Saguache county, San Luis Valley, fields",yes,North America,"PCR (stx1, stx2, and uidA genes), culture broth and plate",Molecular,NA,NA,,swab,Animal,Bird,Passeriformes,Passerellidae,Pooecetes,Vesper sparrow,Pooecetes gramineus,,free,Escherichia coli shiga toxin production,STEC,,feces,yes,no,,,ND,1,NA,,,NA,NA,NA,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
